geometry,leisure,name_left,name:ca_left,note,name:es_left,operator,operator:type,name:etymology:wikidata,wikidata_left,wikipedia_left,alt_name_left,opening_hours,tourism,addr:city,addr:postcode,addr:street,alt_name:ca_left,alt_name:es,nohousenumber,old_name_left,phone,source_left,wikimedia_commons,dog,smoking,loc_name,access,loc_name:ca,loc_name:es,lit,surface,addr:housenumber,old_name:es,name:sr,place,foot,designation,name:etymology,source:date,natural,garden:type,description,noname,building,fee,parking,landuse,type_left,amenity,centroid,coords,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.378656097152188 39.48913517762119),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.378656097152188 39.48913517762119),"(39.48913517762119, -0.37865609715218795)",relation,14731119.0,10,administrative,,Tormos,Tormos,,boundary,Q9088545,ca:Tormos (barri de València),,,,
POINT (-0.3781773199852601 39.486692647986665),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3781773199852601 39.486692647986665),"(39.486692647986665, -0.3781773199852601)",relation,14731119.0,10,administrative,,Tormos,Tormos,,boundary,Q9088545,ca:Tormos (barri de València),,,,
POINT (-0.3785312331304722 39.486586693683996),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3785312331304722 39.486586693683996),"(39.486586693683996, -0.37853123313047216)",relation,14731119.0,10,administrative,,Tormos,Tormos,,boundary,Q9088545,ca:Tormos (barri de València),,,,
POINT (-0.3676656590780684 39.4805827352186),park,Jardins del Real,Jardins del Real,,Jardines del Real,,,Q5926337,Q5926337,es:Jardines del Real,Jardins de Vivers,"Nov-Mar: Mo-Su,PH 07:30-20:30; Apr-Oct: Mo-Su,PH 07:30-21:30",,València,46010,Carrer de Sant Pius V,Jardins de Vivers,Jardines de Viveros,yes,Jardines del Real de Valencia,+34 963 52 54 78,http://www.valencia.es/ayuntamiento/infociudad_accesible.nsf/vDocumentosWebListadov/FF9C0E294CBAE260C12572C20023FD3B?OpenDocument&lang=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3676656590780684 39.4805827352186),"(39.4805827352186, -0.3676656590780684)",relation,14731120.0,10,administrative,,Trinitat,Trinitat,,boundary,Q9090102,ca:Trinitat (barri de València),,,,
POINT (-0.3713828268288755 39.48097120973207),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3713828268288755 39.48097120973207),"(39.48097120973207, -0.3713828268288755)",relation,14731120.0,10,administrative,,Trinitat,Trinitat,,boundary,Q9090102,ca:Trinitat (barri de València),,,,
POINT (-0.3712490427009165 39.48837556162303),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3712490427009165 39.48837556162303),"(39.48837556162303, -0.3712490427009165)",relation,14731121.0,10,administrative,,Sant Antoni,Sant Antoni,,boundary,Q6120185,ca:Sant Antoni (barri de València),,,,
POINT (-0.371142309684601 39.48902674062242),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.371142309684601 39.48902674062242),"(39.48902674062242, -0.371142309684601)",relation,14731121.0,10,administrative,,Sant Antoni,Sant Antoni,,boundary,Q6120185,ca:Sant Antoni (barri de València),,,,
POINT (-0.3716018502618447 39.49007411037324),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3716018502618447 39.49007411037324),"(39.49007411037324, -0.37160185026184467)",relation,14731121.0,10,administrative,,Sant Antoni,Sant Antoni,,boundary,Q6120185,ca:Sant Antoni (barri de València),,,,
POINT (-0.3709408576361742 39.486583967999586),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,"Parque de ""Las vías"" / Parque de Sagunto",,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3709408576361742 39.486583967999586),"(39.486583967999586, -0.37094085763617424)",relation,14731122.0,10,administrative,,Morvedre,Morvedre,,boundary,Q6024517,ca:Morvedre (barri de València),,,,
POINT (-0.3738503510482271 39.485708853806884),park,Jardí de Morvedre,Jardí de Morvedre,,Jardín de Morvedre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3738503510482271 39.485708853806884),"(39.485708853806884, -0.3738503510482271)",relation,14731122.0,10,administrative,,Morvedre,Morvedre,,boundary,Q6024517,ca:Morvedre (barri de València),,,,
POINT (-0.3756347957795025 39.483755462572574),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3756347957795025 39.483755462572574),"(39.483755462572574, -0.37563479577950254)",relation,14731122.0,10,administrative,,Morvedre,Morvedre,,boundary,Q6024517,ca:Morvedre (barri de València),,,,
